Symbol,Close Price,Band,Margin,Tradable
SFL,697.7,20,5,Yes
ABB,5349,No Band,5,Yes
AEGISLOG,800.45,20,5,Yes
LAURUSLABS,894.85,No Band,5,Yes
ATUL,6467,20,5,Yes
KARURVYSYA,211.59,20,5,Yes
BAJAJELEC,592.4,20,5,Yes
FORCEMOT,19734,20,5,Yes
BAJFINANCE,1003.25,No Band,5,Yes
BALRAMCHIN,517.7,20,5,Yes
BANCOINDIA,690.35,20,5,Yes
FACT,1005.5,20,5,Yes
ABREL,1922.2,20,5,Yes
BASF,4672,20,5,Yes
BATAINDIA,1274,20,5,Yes
BEML,4340.1,20,5,Yes
BEL,402.9,No Band,5,Yes
BLUESTARCO,1924.1,No Band,5,Yes
CESC,168.11,20,5,Yes
CHAMBLFERT,545.45,20,5,Yes
SUNDARMFIN,4574.1,20,5,Yes
EXIDEIND,418.2,No Band,5,Yes
CIPLA,1559,No Band,5,Yes
CRISIL,5045.4,20,5,Yes
CGPOWER,792.2,No Band,5,Yes
DABUR,535.7,No Band,5,Yes
ARVIND,323.8,20,5,Yes
BHEL,232.19,No Band,5,Yes
HINDPETRO,402,No Band,5,Yes
IFCI,56.08,10,5,Yes
MRPL,127.87,20,5,Yes
CHENNPETRO,751.9,20,5,Yes
SBIN,831.55,No Band,5,Yes
SAIL,132.94,No Band,5,Yes
TITAN,3556.8,No Band,5,Yes
IDBI,93.29,20,5,Yes
DRREDDY,1310.4,No Band,5,Yes
EIDPARRY,1088.1,20,5,Yes
PGHL,6353.5,20,5,Yes
ELECTCAST,100.26,20,5,Yes
ESABINDIA,5096,20,5,Yes
EPL,223.09,20,5,Yes
FINCABLES,844.55,20,5,Yes
GODFRYPHLP,3644,20,5,Yes
GODREJIND,1221.8,20,5,Yes
KANSAINER,245.07,20,5,Yes
GHCL,571.7,20,5,Yes
HDFCBANK,966.85,No Band,5,Yes
HEROMOTOCO,5316,No Band,5,Yes
HFCL,76.46,No Band,5,Yes
HSCL,463.75,20,5,Yes
HCC,28.61,5,5,No
AGI,869.45,20,5,Yes
HINDZINC,462.25,No Band,5,Yes
HMT,,5,,No
